Bot_ID,Tipo,direccion,symbol,Precio_Entrada,Precio_Salida,PnL,Hora_Entrada,Hora_Cierre,Trade_Id
BNB_GridT,gridT,long,bnbusdt,589.99,590.93253678,0.0094,2026-06-22 17:41:51,2026-06-22 18:08:24,BNB_GridT_19_1782164511
BNB_GridT,gridT,long,bnbusdt,589.66,590.93253678,0.0127,2026-06-22 17:40:09,2026-06-22 18:08:24,BNB_GridT_18_1782164409
BNB_GridT,gridT,long,bnbusdt,589.33,590.93253678,0.0160,2026-06-21 16:47:03,2026-06-22 18:08:24,BNB_GridT_6_1782074823
BNB_GridT,gridT,long,bnbusdt,589.0,590.93253678,0.0193,2026-06-21 16:47:12,2026-06-22 18:08:24,BNB_GridT_7_1782074832
BNB_GridT,gridT,long,bnbusdt,588.67,590.93253678,0.0226,2026-06-21 16:47:30,2026-06-22 18:08:24,BNB_GridT_8_1782074850
BNB_GridT,gridT,long,bnbusdt,588.34,590.93253678,0.0259,2026-06-21 16:48:03,2026-06-22 18:08:24,BNB_GridT_9_1782074883
BNB_GridT,gridT,long,bnbusdt,588.01,590.93253678,0.0292,2026-06-21 16:48:39,2026-06-22 18:08:24,BNB_GridT_10_1782074919
BNB_GridT,gridT,long,bnbusdt,587.68,590.93253678,0.0325,2026-06-21 17:09:15,2026-06-22 18:08:24,BNB_GridT_11_1782076155
BNB_GridT,gridT,long,bnbusdt,587.35,590.93253678,0.0358,2026-06-21 17:09:18,2026-06-22 18:08:24,BNB_GridT_12_1782076158
BNB_GridT,gridT,long,bnbusdt,587.02,590.93253678,0.0391,2026-06-21 17:09:36,2026-06-22 18:08:24,BNB_GridT_13_1782076176
BNB_GridT,gridT,long,bnbusdt,586.36,590.93253678,0.0457,2026-06-21 17:09:58,2026-06-22 18:08:24,BNB_GridT_14_1782076198
BNB_GridT,gridT,long,bnbusdt,586.69,590.93253678,0.0424,2026-06-21 17:09:58,2026-06-22 18:08:24,BNB_GridT_15_1782076198
BNB_GridT,gridT,long,bnbusdt,585.71,590.93253678,0.0522,2026-06-21 17:10:00,2026-06-22 18:08:24,BNB_GridT_16_1782076200
BNB_GridT,gridT,long,bnbusdt,586.03,590.93253678,0.0490,2026-06-21 17:10:00,2026-06-22 18:08:24,BNB_GridT_17_1782076200
BNB_GridT,gridT,long,bnbusdt,590.65,590.93253678,0.0028,2026-06-22 17:53:27,2026-06-22 18:08:24,BNB_GridT_20_1782165207
BNB_GridT,gridT,long,bnbusdt,590.98,590.93253678,-0.0005,2026-06-22 17:55:33,2026-06-22 18:08:24,BNB_GridT_21_1782165333
BNB_GridT,gridT,long,bnbusdt,591.32,590.93253678,-0.0039,2026-06-22 17:59:06,2026-06-22 18:08:24,BNB_GridT_22_1782165546
BNB_GridT,gridT,long,bnbusdt,591.65,590.88,-0.0077,2026-06-22 18:06:33,2026-06-22 18:20:42,BNB_GridT_24_1782165993
BNB_GridT,gridT,long,bnbusdt,591.32,590.88,-0.0044,2026-06-22 18:10:18,2026-06-22 18:20:42,BNB_GridT_25_1782166218
BNB_GridT,gridT,long,bnbusdt,590.65,589.74550414,-0.0090,2026-06-22 18:20:57,2026-06-22 18:27:06,BNB_GridT_27_1782166857
BNB_GridT,gridT,long,bnbusdt,589.0,588.59104082,-0.0041,2026-06-22 18:28:10,2026-06-22 18:37:09,BNB_GridT_31_1782167290
BNB_GridT,gridT,long,bnbusdt,589.33,588.59104082,-0.0074,2026-06-22 18:28:10,2026-06-22 18:37:09,BNB_GridT_32_1782167290
BNB_GridT,gridT,long,bnbusdt,588.34,588.59104082,0.0025,2026-06-22 18:28:12,2026-06-22 18:37:09,BNB_GridT_33_1782167292
BNB_GridT,gridT,long,bnbusdt,588.67,588.59104082,-0.0008,2026-06-22 18:28:12,2026-06-22 18:37:09,BNB_GridT_34_1782167292
BNB_GridT,gridT,long,bnbusdt,589.99,589.22684223,-0.0076,2026-06-22 18:27:06,2026-06-22 19:16:45,BNB_GridT_29_1782167226
BNB_GridT,gridT,long,bnbusdt,589.66,589.22684223,-0.0043,2026-06-22 18:27:18,2026-06-22 19:16:45,BNB_GridT_30_1782167238
BNB_GridT,gridT,long,bnbusdt,588.67,589.22684223,0.0056,2026-06-22 18:37:48,2026-06-22 19:16:45,BNB_GridT_35_1782167868
BNB_GridT,gridT,long,bnbusdt,588.34,589.22684223,0.0089,2026-06-22 18:38:06,2026-06-22 19:16:45,BNB_GridT_36_1782167886
BNB_GridT,gridT,long,bnbusdt,589.33,589.22684223,-0.0010,2026-06-22 18:42:15,2026-06-22 19:16:45,BNB_GridT_37_1782168135
BNB_GridT,gridT,long,bnbusdt,589.0,589.22684223,0.0023,2026-06-22 18:43:03,2026-06-22 19:16:45,BNB_GridT_38_1782168183
BNB_GridT,gridT,long,bnbusdt,590.98,590.09,-0.0089,2026-06-22 18:20:39,2026-06-22 19:58:22,BNB_GridT_26_1782166839
BNB_GridT,gridT,long,bnbusdt,590.32,590.09,-0.0023,2026-06-22 18:26:48,2026-06-22 19:58:22,BNB_GridT_28_1782167208
BNB_GridT,gridT,long,bnbusdt,589.33,590.09,0.0076,2026-06-22 19:17:51,2026-06-22 19:58:22,BNB_GridT_39_1782170271
BNB_GridT,gridT,long,bnbusdt,589.66,590.09,0.0043,2026-06-22 19:18:45,2026-06-22 19:58:22,BNB_GridT_40_1782170325
BNB_GridT,gridT,long,bnbusdt,589.99,590.09,0.0010,2026-06-22 19:20:45,2026-06-22 19:58:22,BNB_GridT_41_1782170445
BNB_GridT,gridT,long,bnbusdt,590.65,590.09,-0.0056,2026-06-22 19:23:57,2026-06-22 19:58:22,BNB_GridT_42_1782170637
BNB_GridT,gridT,long,bnbusdt,590.32,589.49,-0.0083,2026-06-22 19:59:39,2026-06-22 20:24:18,BNB_GridT_44_1782172779
BNB_GridT,gridT,long,bnbusdt,589.99,589.49,-0.0050,2026-06-22 20:02:06,2026-06-22 20:24:18,BNB_GridT_45_1782172926
BNB_GridT,gridT,long,bnbusdt,589.66,589.24,-0.0042,2026-06-22 20:12:27,2026-06-22 20:25:48,BNB_GridT_47_1782173547
